PLAYER,SEASON,TEAM,X,Y,SHOT_MADE,PLAYOFFS,MVP,Champion
Kevin Durant,2007-08,SEA,-13.3,25.95,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,9.4,17.95,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-1.1,27.95,1,0,0,0
Kevin Durant,2007-08,SEA,21.2,7.05,0,0,0,0
Kevin Durant,2007-08,SEA,8.0,29.75,1,0,0,0
Kevin Durant,2007-08,SEA,18.6,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,3.8,23.85,1,0,0,0
Kevin Durant,2007-08,SEA,-8.4,25.45,0,0,0,0
Kevin Durant,2007-08,SEA,-1.8,13.45,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,12.0,26.65,0,0,0,0
Kevin Durant,2007-08,SEA,-10.2,29.05,0,0,0,0
Kevin Durant,2007-08,SEA,-14.9,18.95,1,0,0,0
Kevin Durant,2007-08,SEA,8.7,21.35,0,0,0,0
Kevin Durant,2007-08,SEA,6.9,5.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-15.4,25.35,0,0,0,0
Kevin Durant,2007-08,SEA,10.0,21.05,0,0,0,0
Kevin Durant,2007-08,SEA,2.8,20.25,1,0,0,0
Kevin Durant,2007-08,SEA,5.6,8.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,12.8,10.05,1,0,0,0
Kevin Durant,2007-08,SEA,3.8,24.15,1,0,0,0
Kevin Durant,2007-08,SEA,8.7,23.65,0,0,0,0
Kevin Durant,2007-08,SEA,-10.2,22.15,1,0,0,0
Kevin Durant,2007-08,SEA,-16.6,23.65,0,0,0,0
Kevin Durant,2007-08,SEA,12.5,26.45,1,0,0,0
Kevin Durant,2007-08,SEA,-7.7,24.85,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-13.3,19.85,1,0,0,0
Kevin Durant,2007-08,SEA,9.0,11.65,0,0,0,0
Kevin Durant,2007-08,SEA,0.2,26.25,0,0,0,0
Kevin Durant,2007-08,SEA,11.2,14.35,0,0,0,0
Kevin Durant,2007-08,SEA,-14.4,26.65,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
